Maarintalo,;
Heating;
DateTime;kW
8.9.2015 00:00:00:000;39,8
8.9.2015 01:00:00:000;38,86
8.9.2015 02:00:00:000;37,49
8.9.2015 03:00:00:000;39,08
8.9.2015 04:00:00:000;38,54
8.9.2015 05:00:00:000;38,48
8.9.2015 06:00:00:000;41,4
8.9.2015 07:00:00:000;54,99
8.9.2015 08:00:00:000;62,33
8.9.2015 09:00:00:000;65,94
8.9.2015 10:00:00:000;68,17
8.9.2015 11:00:00:000;69,54
8.9.2015 12:00:00:000;71,68
8.9.2015 13:00:00:000;73,99
8.9.2015 14:00:00:000;74,46
8.9.2015 15:00:00:000;72,21
8.9.2015 16:00:00:000;68,97
8.9.2015 17:00:00:000;60,46
8.9.2015 18:00:00:000;47,4
8.9.2015 19:00:00:000;43,9
8.9.2015 20:00:00:000;44,36
8.9.2015 21:00:00:000;44,56
8.9.2015 22:00:00:000;45,67
8.9.2015 23:00:00:000;43,71
9.9.2015 00:00:00:000;40,45
9.9.2015 01:00:00:000;40,25
9.9.2015 02:00:00:000;40,44
9.9.2015 03:00:00:000;40,09
9.9.2015 04:00:00:000;39,96
9.9.2015 05:00:00:000;39,2
9.9.2015 06:00:00:000;40,23
9.9.2015 07:00:00:000;53,23
9.9.2015 08:00:00:000;62,05
9.9.2015 09:00:00:000;65,06
9.9.2015 10:00:00:000;68,19
9.9.2015 11:00:00:000;67,9
9.9.2015 12:00:00:000;70,5
9.9.2015 13:00:00:000;74,52
9.9.2015 14:00:00:000;71,31
9.9.2015 15:00:00:000;72,01
9.9.2015 16:00:00:000;68,87
9.9.2015 17:00:00:000;59,71
9.9.2015 18:00:00:000;49,42
9.9.2015 19:00:00:000;46,32
9.9.2015 20:00:00:000;46,15
9.9.2015 21:00:00:000;43,74
9.9.2015 22:00:00:000;44,89
9.9.2015 23:00:00:000;42,7
10.9.2015 00:00:00:000;42,83
10.9.2015 01:00:00:000;40,78
10.9.2015 02:00:00:000;41,68
10.9.2015 03:00:00:000;40,95
10.9.2015 04:00:00:000;40,73
10.9.2015 05:00:00:000;40,21
10.9.2015 06:00:00:000;41,48
10.9.2015 07:00:00:000;54,36
10.9.2015 08:00:00:000;62,09
10.9.2015 09:00:00:000;65,44
10.9.2015 10:00:00:000;68,54
10.9.2015 11:00:00:000;70,32
10.9.2015 12:00:00:000;71,68
10.9.2015 13:00:00:000;75,79
10.9.2015 14:00:00:000;76,54
10.9.2015 15:00:00:000;80,68
10.9.2015 16:00:00:000;75,05
10.9.2015 17:00:00:000;64,3
10.9.2015 18:00:00:000;50,12
10.9.2015 19:00:00:000;45,17
10.9.2015 20:00:00:000;46,56
10.9.2015 21:00:00:000;44,6
10.9.2015 22:00:00:000;45,61
10.9.2015 23:00:00:000;42,4
11.9.2015 00:00:00:000;41,53
11.9.2015 01:00:00:000;40,57
11.9.2015 02:00:00:000;40,32
11.9.2015 03:00:00:000;41,11
11.9.2015 04:00:00:000;41,32
11.9.2015 05:00:00:000;40,75
11.9.2015 06:00:00:000;42,84
11.9.2015 07:00:00:000;55,06
11.9.2015 08:00:00:000;62,84
11.9.2015 09:00:00:000;64,74
11.9.2015 10:00:00:000;65,65
11.9.2015 11:00:00:000;66,49
11.9.2015 12:00:00:000;68,04
11.9.2015 13:00:00:000;71,23
11.9.2015 14:00:00:000;73,97
11.9.2015 15:00:00:000;73,75
11.9.2015 16:00:00:000;63,12
11.9.2015 17:00:00:000;55,83
11.9.2015 18:00:00:000;48,28
11.9.2015 19:00:00:000;45,36
11.9.2015 20:00:00:000;45,68
11.9.2015 21:00:00:000;43,47
11.9.2015 22:00:00:000;44,72
11.9.2015 23:00:00:000;40,93
12.9.2015 00:00:00:000;39,58
12.9.2015 01:00:00:000;39,31
12.9.2015 02:00:00:000;39,08
12.9.2015 03:00:00:000;38,89
12.9.2015 04:00:00:000;39,08
12.9.2015 05:00:00:000;38,72
12.9.2015 06:00:00:000;37,74
12.9.2015 07:00:00:000;36,71
