Maarintalo;
Water;
DateTime;m3
8.9.2015 00:00:00:000;0,04
8.9.2015 01:00:00:000;0,03
8.9.2015 02:00:00:000;0,02
8.9.2015 03:00:00:000;0,01
8.9.2015 04:00:00:000;0,01
8.9.2015 05:00:00:000;0,01
8.9.2015 06:00:00:000;0,03
8.9.2015 07:00:00:000;0,12
8.9.2015 08:00:00:000;0,06
8.9.2015 09:00:00:000;0,13
8.9.2015 10:00:00:000;0,25
8.9.2015 11:00:00:000;0,36
8.9.2015 12:00:00:000;0,33
8.9.2015 13:00:00:000;0,4
8.9.2015 14:00:00:000;0,43
8.9.2015 15:00:00:000;0,31
8.9.2015 16:00:00:000;0,26
8.9.2015 17:00:00:000;0,27
8.9.2015 18:00:00:000;0,14
8.9.2015 19:00:00:000;0,14
8.9.2015 20:00:00:000;0,13
8.9.2015 21:00:00:000;0,07
8.9.2015 22:00:00:000;0,03
8.9.2015 23:00:00:000;0,04
9.9.2015 00:00:00:000;0,03
9.9.2015 01:00:00:000;0,03
9.9.2015 02:00:00:000;0,02
9.9.2015 03:00:00:000;0,02
9.9.2015 04:00:00:000;0,01
9.9.2015 05:00:00:000;0,02
9.9.2015 06:00:00:000;0,02
9.9.2015 07:00:00:000;0,09
9.9.2015 08:00:00:000;0,11
9.9.2015 09:00:00:000;0,18
9.9.2015 10:00:00:000;0,22
9.9.2015 11:00:00:000;0,32
9.9.2015 12:00:00:000;0,32
9.9.2015 13:00:00:000;0,39
9.9.2015 14:00:00:000;0,34
9.9.2015 15:00:00:000;0,22
9.9.2015 16:00:00:000;0,33
9.9.2015 17:00:00:000;0,19
9.9.2015 18:00:00:000;0,34
9.9.2015 19:00:00:000;0,19
9.9.2015 20:00:00:000;0,13
9.9.2015 21:00:00:000;0,06
9.9.2015 22:00:00:000;0,05
9.9.2015 23:00:00:000;0,04
10.9.2015 00:00:00:000;0,04
10.9.2015 01:00:00:000;0,04
10.9.2015 02:00:00:000;0,02
10.9.2015 03:00:00:000;0
10.9.2015 04:00:00:000;0,01
10.9.2015 05:00:00:000;0,06
10.9.2015 06:00:00:000;0,02
10.9.2015 07:00:00:000;0,11
10.9.2015 08:00:00:000;0,1
10.9.2015 09:00:00:000;0,1
10.9.2015 10:00:00:000;0,25
10.9.2015 11:00:00:000;0,28
10.9.2015 12:00:00:000;0,35
10.9.2015 13:00:00:000;0,44
10.9.2015 14:00:00:000;0,34
10.9.2015 15:00:00:000;0,51
10.9.2015 16:00:00:000;0,32
10.9.2015 17:00:00:000;0,33
10.9.2015 18:00:00:000;0,14
10.9.2015 19:00:00:000;0,17
10.9.2015 20:00:00:000;0,12
10.9.2015 21:00:00:000;0,06
10.9.2015 22:00:00:000;0,04
10.9.2015 23:00:00:000;0,07
11.9.2015 00:00:00:000;0,03
11.9.2015 01:00:00:000;0,01
11.9.2015 02:00:00:000;0,01
11.9.2015 03:00:00:000;0,02
11.9.2015 04:00:00:000;0,01
11.9.2015 05:00:00:000;0,01
11.9.2015 06:00:00:000;0,01
11.9.2015 07:00:00:000;0,13
11.9.2015 08:00:00:000;0,08
11.9.2015 09:00:00:000;0,11
11.9.2015 10:00:00:000;0,16
11.9.2015 11:00:00:000;0,21
11.9.2015 12:00:00:000;0,28
11.9.2015 13:00:00:000;0,39
11.9.2015 14:00:00:000;0,36
11.9.2015 15:00:00:000;0,28
